BeverageSegment,Brand,DigitalCatalogProductName,WineVarietal,ItemSize,ItemSizeUom,CasePackQty,CasePackUom,Container,ProductDescShort,ProductDescLong,ProductBullet01,ProductBullet02,ProductBullet03,ProductBullet04,ProductBullet05,ProductBullet06,ProductBullet07,ProductBullet08,ProductBullet09,ProductBullet10,ProductBullet11,ProductBullet12,SurgeonGeneralWarning,ProductDisclaimerSparkling,ProductPlaceOfOrigin,CountryOfOrigin,LegalSocialResponsibility,LegalMandatoryStatement,Image_package_front,Image_package_right,Image_package_left,Image_bottle_standard,Image_label_front,Image_label_back,Image_can_standard,Image_box_front,Image_box_right,Image_box_left,Nutrition_Ingredients,ABV
Beer,ABVBeer,Modelo Especial,"Modelo Especial Mexican Lager Beer, 6 pk 12 fl oz Cans, 4.4% ABV",12,oz,6,Pack,Cans,Modelo Especial Mexican Beer is a full-flavored pilsner beer with a crisp taste. An orange blossom honey aroma and light hop character make this imported beer perfect for tailgating.,"Modelo Especial Mexican Beer is a model of what good beer should be. This full-flavored pilsner beer has a crisp taste with an orange blossom honey aroma and a hint of herb. A light hop character, tantalizing sweetness and clean finish make this Mexican lager style beer perfect for enjoying at your next barbecue or sharing with friends while watching the game. Pair this 145 calorie, easy-drinking beer with Mexican dishes, pasta or pizza for a perfect match. Made with barley malt and unmalted cereals and hops for a balanced flavor, this cerveza is brewed with the fighting spirit. Drink responsibly. Modelo Especial Beer. Imported by Crown Imports, Chicago, IL",6 pack of 12 fl oz cans of Modelo Especial Mexican Beer,"Made in Mexico, this pilsner style lager beer is perfectly balanced with light hops and taste",,,Mexican lager style beer characterized by an orange blossom honey aroma with a hint of herb,,,Enjoy this cerveza at a barbecue or as a tailgating beer while watching the game with friends,"Modelo Especial beer pairs well with Mexican dishes, pasta or pizza",Contains 145 calories and 4.4% alcohol by volume,,Modelo Especial - Brewing with the fighting spirit to bring you great taste,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,Mexico,Mexico,Drink responsibly.,"Modelo Especial� Beer. Imported by Crown Imports, Chicago, IL",,http://images.salsify.com/image/upload/s--wBwBzY09--/zqehtrhbtsp2qbgtvlq0.png,,,,,http://images.salsify.com/image/upload/s--G2Temz9i--/ztgjgmiwhfufyoywkl66.png,,,,"Water, Barley Malt, Non-malted Cereals, Hops", 4.4% ABV
Beer,Funky Buddha Hop Gun,"Funky Buddha Hop Gun IPA Craft Beer, 6 pk 12 fl oz Cans, 7.0% ABV",,12,oz,6,Pack,Cans,Funky Buddha Hop Gun IPA Craft Beer bursts with flavors of grapefruit and pineapple balanced by exactingly brewed caramel malts with cascade and centennial hops.,"Funky Buddha Hop Gun IPA Craft Beer is a big, bold India pale ale bursting with pineapple and grapefruit flavor. Brewed with payloads of American cascade and centennial hops, this Funky Buddha beer features a dose of smooth caramel malts for a balanced finish. Made with culinary-inspired natural ingredients using time-honored techniques, this moderately bitter IPA beer goes great with Thai red curry, chipotle wings, hoisin-glazed roast duck, fresh-baked cherry pie and washed rind cheeses. Whether it's the quality of our ingredients, the caliber of our beer, or just watching a breathtaking Florida sunset, Funky Buddha is all about creating enlightening experiences through craft beers. Inner peace starts with great beer. Please drink responsibly. Hop Gun India Pale Ale.  Funky Buddha Brewery, Oakland Park, FL",6 pack of 12 fl oz cans of Funky Buddha Hop Gun IPA Craft Beer,"East coast-style IPA beer, crafted in Florida",,Flavored beer made with culinary-inspired ingredients and time-honored techniques,India pale ale bursting with grapefruit and pineapple flavor,Moderately bitter American beer (60/100 IBUs) with a balanced finish,Florida beer 6 pack brewed exactingly with smooth caramel malt and American hops,,"Pair this canned beer with cheese, chicken wings, duck, spicy lamb chops or cherry pie",Contains 7.0% alcohol by volume,,Funky Buddha - Inner peace starts with great beer,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,Florida,United States,Please drink responsibly.,"Hop Gun India Pale Ale.  Funky Buddha Brewery, Oakland Park, FL",http://images.salsify.com/image/upload/s--6E5p1ju_--/qybexf6pbwctwfj4gr7j.png,http://images.salsify.com/image/upload/s--BIGsgKOM--/suukbnyywfw9w5alisyq.png,,,,,http://images.salsify.com/image/upload/s--lcSgkNca--/lpffnmh9psd5l9rinpsu.png,,,,, 7.0% ABV
Beer,Pacifico,"Pacifico Clara Mexican Lager Beer, 6 pk 12 fl oz Bottles, 4.4% ABV",,12,oz,6,Pack,Bottles,"Pacifico Clara Mexican Beer is adventurous with a hearty, crisp taste of citrus and ocean mist. Enjoy this lightly bitter import beer with grilled shrimp or a Baja taco.","Pacifico Clara Mexican Beer is hearty and crisp with a touch of grass-citrus and ocean mist flavor. Discovered in the 1970s by surfers along the Baja coast and brought back to the states, this imported beer features a recipe that's decades in the making. With aromas of malty grain and hop accents, this lager beer is exceptionally drinkable falling at just 18 International Bitterness Units and 135 calories. Bring this cerveza along on your next adventure to the beach or enjoy it at a barbecue. This lightly bitter pilsner beer pairs well with premium seafood like grilled shrimp or your favorite Baja taco. Pacifico beer was made for those with an Independent Spirit. Discover responsibly. Pacifico Clara Beer. Imported by Crown Imports, Chicago, IL",6 pack of 12 fl oz bottles of Pacifico Clara Mexican Beer,Exceptionally drinkable golden lager beer brewed in Mexico,,,"Hearty, crisp notes with a touch of pleasant grass-citrus, ocean mist flavor",,,"Ideal cerveza for the beach, barbecues or enjoying the big game",Pacifico beer tastes great with premium seafood such as grilled shrimp or a Baja taco,Contains 135 calories and 4.4% alcohol by volume,,Pacifico is the beer for those with an Independent Spirit,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,Mexico,Mexico,Discover responsibly�.,"Pacifico Clara� Beer. Imported by Crown Imports, Chicago, IL",http://images.salsify.com/image/upload/s---gDvOKvt--/x7mnupphju5wuiapj69c.png,http://images.salsify.com/image/upload/s--68Dluz0C--/towbxxgyu0hmoqzdxkc4.png,http://images.salsify.com/image/upload/s--yXaTvI30--/umhjiruykz5p91uvtvha.png,http://images.salsify.com/image/upload/s--LdFJusQH--/redwafqqvgfuznex1bni.png,,,,,,,"Water, Barley Malt, Non-malted Cereals, Hops", 4.4% ABV
Beer,Corona Premier,"Corona Premier Mexican Lager Beer, 12 fl oz Bottle, 4.0% ABV",,12,oz,1,,Bottle,"Corona Premier Mexican Beer is a smooth and drinkable light lager beer, offering a mild, malty taste with a crisp finish. Pair this import beer with Mexican food or citrus-infused dishes.","Corona Premier Mexican Beer is the premium light beer experience you've been waiting for, offering a refined taste with 90 calories per serving. This Mexican lager style beer is made with barley malt, non-malted cereals, hops and bottom-fermenting yeast. The result is a smooth and drinkable Corona beer with a light, malty taste, a crisp finish and an even-bodied feel. Share this cerveza with guests at your next backyard barbecue or enjoy this light lager beer with lime or by itself on a hot day. Chill this bottled beer and pair it with Mexican food and citrus-infused dishes. Corona Premier - Enjoy the View. Drink responsibly. Corona Premier Beer. Imported by Crown Imports, Chicago, IL",Single 12 fl oz bottle of Corona Premier Mexican Beer,This light lager beer is made in Mexico,,,,,,Serve Corona Premier beer with lime or by itself at your next backyard barbecue,The refined taste of this imported beer pairs well with Mexican food or citrus-infused dishes,Contains 90 calories and 4% alcohol by volume,,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,Mexico,Mexico,Drink responsibly.,"Corona Premier� Beer. Imported by Crown Imports, Chicago, IL",,,,http://images.salsify.com/image/upload/s---4WmDERI--/xyy0aciqbdhiunly7juj.png,,,,,,,"Water, Barley Malt, Non-malted Cereals, Hops", 4.0% ABV
Beer,Four Corners  El Chingon,"Four Corners El Chingon IPA Craft Beer, 19.2 fl oz Can, 7.3% ABV",,19.2,oz,1,,Can,Four Corners El Chingon is an IPA drinker's IPA. A solid malt base rounded out with Munich malt provides the perfect balance to a robust hop bill starring all the classic American Big C hops.,"Predominantly built with pale and Munich malts, the hopping of this Four Corners El Chingon IPA makes it a quintessentially American one. The stars are all the �C� hops. The boil is rife with Columbus, Cascade and Centennial. The final kick at the end of the boil is a large dose of Falconer�s Flight, 7C blend (Cascade, Centennial, Chinook, Citra, Cluster, Columbus, and Crystal). The robust malt bill and the classic American hops are bridged by a final whirlpool of Santiam, leaving us with a full and hoppy IPA. This IPA and a half is noted for pine, earth and imparting a sense of feeling puro ching�n.",,,,,Balanced malt bill with aggressive flavor and bittering hops,72/100 IBUs (International Bitterness Units),,,,7.3% ABV,,"There are many IPAs, only one can be called El Ching�n","GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,Texas,United States,Drink Responsibly.,"Four Corners� Brewing Co., Dallas, TX",,,,,,,http://images.salsify.com/image/upload/s--c6W8kj72--/teu59h0rtarwofvwqhqp.png,,,,, 7.3% ABV
Beer,Funky Buddha Vibin' Groovable,"Funky Buddha Vibin' Groovable Amber Lager Craft Beer, 6 pk 12 fl oz Cans, 5.0% ABV",,12,oz,6,Pack,Cans,"Funky Buddha Vibin' Groovable Lager Craft Beer has a golden-pale color and a delicate, balanced flavor perfect for enjoying with good music and poultry, goat cheese or salmon.","Funky Buddha Vibin' Groovable Lager Craft Beer is made with big, bold flavors and natural ingredients. This golden-pale body lager beer is delicate and balanced, ideal for pairing with good tunes, as well as roast turkey, salmon, goat cheese or chicken nachos. With a subtle bitterness, this Florida beer showcases a combination of culinary-inspired ingredients and time-honored brewing techniques. Whether it's the quality of the ingredients, the caliber of the beer or just watching a breathtaking Florida sunset, Funky Buddha beer is all about creating enlightening experiences through unique craft beers. Enjoy a brew from this beer 6 pack right from the cans or poured into a shaker pint. Inner peace starts with great beer. Please drink responsibly. Vibin' Lager.  Funky Buddha Brewery, Oakland Park, FL",6 pack of 12 fl oz cans of Funky Buddha Vibin' Groovable Lager Craft Beer,Florida craft lager beer with a golden-pale body,,Canned beer made with flaked corn and Mexican lager yeast,,"Balanced beer with low bitterness, rating just 10 International Bitterness Units (IBUs)",Brewed with Pilsner malt and Munich malt,,"These beer cans are ideal for pairing with chicken, turkey, salmon and brie cheese",Contains 5% alcohol by volume,,Funky Buddha - Inner peace starts with great beer,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,Florida,United States,Please drink responsibly.,"Vibin' Lager.  Funky Buddha Brewery, Oakland Park, FL",http://images.salsify.com/image/upload/s--f4ceLl2i--/tanvf9zonfb0d8fzrrvi.png,http://images.salsify.com/image/upload/s--H2Mb71Ys--/sixcr1cibhg0y9uvwyuk.png,http://images.salsify.com/image/upload/s--WIaXcECr--/ppgm1dcjp4etjdxi0rja.png,,,,http://images.salsify.com/image/upload/s--4KDYASK5--/wwuvivntmwwnbaltccuu.png,,,,, 5.0% ABV
Beer,Ballast Point Victory At Sea,"Ballast Point Victory At Sea Imperial Porter Craft Beer, 12 fl oz Bottle, 10.0% ABV",,12,oz,1,,Bottle,"Ballast Point Victory at Sea Imperial Porter is a bold, smooth brew with just the right amount of sweetness, infused with vanilla and San Diego�s own Caffe Calabria coffee beans. Best served chilled.","What started as a small group of home brewers, who simply wanted to make a better beer, evolved into the adventurers known today as Ballast Point. Ballast Point Victory at Sea is a big imperial porter crafted to weather any storm. Ballast Point Victory at Sea Imperial Porter is a bold, smooth brew with just the right amount of sweetness, infused with vanilla and San Diego�s own Caffe Calabria coffee beans. 60/100 IBUs (International Bitterness Units), 10.0% alcohol by volume. Craft beer brewed in San Diego, California since 1996. Best served chilled. Ballast Point Brewing - Dedicated to the Craft. Please Explore Responsibly. Ballast Point Brewing Co., San Diego, CA",Single 12 fl oz bottle of Ballast Point Victory at Sea Imperial Porter Craft Beer,"A bold, smooth brew with just the right amount of sweetness",,,,"60/100 IBUs (International Bitterness Units), 10.0% ABV",,"Craft beer brewed in San Diego, California since 1996",Best served chilled,Contains 7% alcohol by volume,,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,California,United States,Please Explore Responsibly.,"Ballast Point Brewing Co,. San Diego, CA.",,,,http://images.salsify.com/image/upload/s--V-NSlGdS--/hvrh3wsx7xj0ofpp8pfi.png,,,,,,,, 10.0% ABV
Beer,Corona Familiar,"Corona Familiar Lager Beer, 24 fl oz Can, 4.8% ABV",,24,oz,1,,Can,"A traditional cerveza, Corona Familiar Mexican Beer is a bright, golden-colored lager to pair with Mexican food and share with close family and friends.","Corona Familiar Mexican Beer is a bright, golden-colored lager with a clean, refreshing flavor that's finished with delicate hop bitterness. A traditional cerveza, Corona Familiar offers the bright, crisp taste Corona beer is known for with a slightly fuller flavor. This imported beer has a light carbonation and slight head make it the perfect complement to Mexican food. With strong ties to authenticity and heritage, this lager beer is best served in small gatherings with close friends and family, using the tradition of sharing to create meaningful experiences. Corona Familiar contains 157 calories and 4.8% alcohol by volume. The taste of a great tradition. Please drink responsibly. Corona Familiar Beer. Imported by Crown Imports, Chicago, IL",Single 24 fl oz can of Corona Familiar Mexican Beer,"Golden colored Mexican lager style beer with the signature bright, crisp taste of Corona",,,"A traditional Mexican beer with a clean, refreshing, fuller flavor",,,Serve this canned beer to close friends and family to create meaningful experiences,Pairs well with Mexican dishes,Contains 157 calories and 4.8% alcohol by volume,,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,Mexico,Mexico,Please drink responsibly.,"Corona Familiar� Beer. Imported by Crown Imports, Chicago, IL",,,,,,,http://images.salsify.com/image/upload/s--RCJgK2y9--/jvzo91f0zfzzbeu9lqiy.png,,,,"Water, Barley Malt, Non-malted Cereals, Hops", 4.8% ABV
Beer,Corona Extra,"Corona Extra Coronita Mexican Lager Beer, 24 pk 7 fl oz Bottles, 4.6% ABV",,7,oz,24,Pack,Bottles,"Corona Extra Coronita Mexican Beer is a crisp, clean, easy drinking import beer with fruity-honey aromas and a touch of malt, making it a great tailgating beer, beach drink or barbecue refreshment.","Corona Extra Coronita Mexican Beer is an even-keeled import beer with fruity-honey aromas and a touch of malt. Brewed in Mexico since 1925, this bottled beer offers a flavor that's smooth, refreshing and balanced between heavier European imports and lighter domestic beers. Crisp, clean and well balanced between hops and malt, this cerveza has a superior taste profile from superior ingredients � the finest-quality blend of filtered water, malted barley, hops, corn and yeast. Corona Extra is a great summer beer, so enjoy it with friends at your next barbecue, beach day or tailgate. Packaged in small beer bottles, Coronita beer fits easily into coolers. This easy-drinking lager beer contains 3.6% alcohol by weight, 4.6% alcohol by volume, 0 grams of fat and 81 calories per 12 ounce serving. Find Your Beach. Relax responsibly. Corona Extra Beer. Imported by Crown Imports, Chicago, IL",24 pack of 7 fl oz bottles of Corona Extra Coronita Import Beer,"Brewed since 1925, this Mexican lager style beer offers a smooth, well balanced taste",,,"An even-keeled imported beer with a crisp, clean and refreshing flavor",,,"Enjoy a Coronita beer with lime at barbecues, game days and afternoons at the beach",,Contains 81 calories and 4.6% alcohol by volume,,Corona Extra - Find your beach,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,Mexico,Mexico,Relax responsibly�.,"Corona Extra� Beer. Imported by Crown Imports, Chicago, IL",http://images.salsify.com/image/upload/s--j5Mzpgkz--/k8zademsn1d7ce2zz3kb.png,http://images.salsify.com/image/upload/s--vt7MU0ps--/jspzmp73kci4vrwhuqgn.png,,http://images.salsify.com/image/upload/s--J5a38Ce_--/cvi2ulqed20qkgbm10on.png,,,,,,,"Water, Barley Malt, Non-malted Cereals, Hops", 4.6% ABV
Beer,Corona Light,"Corona Light Mexican Lager Beer, 12 fl oz Can, 4.1% ABV",,12,oz,1,,Can,Corona Light Mexican Beer makes every day the lightest day with its distinctive hop flavor and pleasant fruity-honey aroma. This easy-drinking lager beer pairs well with spicy food and citrus dishes.,"Corona Light Mexican Beer makes every day the lightest day with its uniquely refreshing flavor at 99 calories per serving. Brewed with water, barley malt, non-malted cereals, hops and bottom-fermenting yeast, this pilsner-style lager beer delivers a pleasant fruity-honey aroma, a distinctive hop flavor and a crisp and clean finish, making it the perfect choice for those seeking a flavorful light beer. Enjoy this Corona beer with lime on a hot day or share it with friends at your next backyard barbecue. This Mexican lager style beer pairs well with spicy food, nuts, chicken or citrus-infused dishes. Corona Light isn't just a light beer. It's The Light Cerveza. Drink responsibly. Corona Light Beer. Imported by Crown Imports, Chicago, IL",Single 12 fl oz can of Corona Light Mexican Beer,"Pilsner-style light lager, brewed in Mexico",,,This imported beer features a distinctive hop flavor complemented by a pleasant fruity-honey aroma,,,Serve this pilsner beer with lime on a hot day or at your next backyard barbecue,"This bottled beer perfectly complements spicy food, nuts, chicken or citrus-infused dishes",Contains 99 calories and 4.1% alcohol by volume,,,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,Mexico,Mexico,Drink responsibly.,"Corona Light� Beer. Imported by Crown Imports, Chicago, IL",,,,,,,http://images.salsify.com/image/upload/s--bWmr69Ea--/wlhpv6aa9boykakltiwe.png,,,,"Water, Barley Malt, Non-malted Cereals, Hops", 4.1% ABV
